subject_id,nama,date,time,epoch_ms,ts_millis,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,label
SUBJ005,fathur,2026-05-21,17:17:00.078000,1267359534,213078,1.02881,-0.05859,0.12646,-0.061,1.58,-0.145,0.97046,0.03564,0.47412,6.29,-0.252,1.435,ergonomis
SUBJ005,fathur,2026-05-21,17:17:00.278000,1267359734,213278,1.03296,-0.04297,0.11108,-3.756,0.435,-0.153,0.97021,0.0332,0.46069,-5.595,-0.626,0.336,ergonomis
SUBJ005,fathur,2026-05-21,17:17:00.478000,1267359934,213478,1.03271,-0.05518,0.11719,0.542,-1.985,0.29,0.97046,0.04102,0.46411,-0.969,0.405,0.366,ergonomis
SUBJ005,fathur,2026-05-21,17:17:00.678000,1267360134,213678,1.03662,-0.03076,0.12354,-0.939,-2.626,-0.45,0.96191,0.04004,0.47217,-2.084,0.695,2.534,ergonomis
SUBJ005,fathur,2026-05-21,17:17:00.878000,1267360334,213878,1.03638,-0.06396,0.11621,-4.328,0.405,0.504,0.95874,0.0332,0.46436,0.702,1.527,0.168,ergonomis
SUBJ005,fathur,2026-05-21,17:17:01.078000,1267360534,214078,1.04077,-0.03516,0.125,4.534,-0.908,0.443,0.96899,0.06128,0.45776,4.71,3.122,1.092,ergonomis
SUBJ005,fathur,2026-05-21,17:17:01.278000,1267360734,214278,1.04248,-0.04712,0.10327,-7.74,0.237,-1.649,0.98071,0.03223,0.46191,-9.313,1.763,1.779,ergonomis
SUBJ005,fathur,2026-05-21,17:17:01.478000,1267360934,214478,1.03149,-0.03955,0.11768,5.687,-0.832,0.557,0.96851,0.05249,0.46851,3.771,3.305,0.328,ergonomis
SUBJ005,fathur,2026-05-21,17:17:04.599000,1267364055,217599,1.04468,0.021,0.1272,-1.573,-10.038,2.824,0.95264,0.03955,0.43896,-0.389,3.527,2.069,ergonomis
SUBJ005,fathur,2026-05-21,17:17:04.799000,1267364255,217799,1.04272,-0.03418,0.11279,-1.847,-5.847,2.901,0.96753,0.05396,0.48267,2.84,0.718,0.641,ergonomis
SUBJ005,fathur,2026-05-21,17:17:05.999000,1267365455,217999,1.03687,-0.02686,0.11548,-5.374,0.649,-0.817,0.98779,0.02661,0.45361,-10.282,-2.779,4.87,ergonomis
SUBJ005,fathur,2026-05-21,17:17:05.199000,1267364655,218199,1.03589,-0.05542,0.11255,5.321,0.878,-1.504,0.97266,0.04126,0.45166,13.336,1.534,0.87,ergonomis
