subject_id,nama,date,time,epoch_ms,ts_millis,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,label
SUBJ_012,dika,2026-06-01,13:38:09.091000,2204628547,318091,0.67285,0.15405,0.94312,-4.29,1.237,-1.618,1.01538,0.02979,-0.13721,5.206,4.679,-4.84,ergonomis
SUBJ_012,dika,2026-06-01,13:38:09.291000,2204628747,318291,0.67432,0.19531,0.93213,5.0,6.298,2.374,1.0564,0.06567,-0.09717,1.695,0.282,-7.435,ergonomis
SUBJ_012,dika,2026-06-01,13:38:09.491000,2204628947,318491,0.6626,0.18408,0.9314,5.237,2.412,2.664,1.0603,0.01147,-0.1123,-2.504,-6.588,-3.107,ergonomis
SUBJ_012,dika,2026-06-01,13:38:09.691000,2204629147,317691,0.64429,0.17725,0.90259,-1.626,-1.473,1.74,0.94434,0.03711,-0.07422,-0.809,0.687,0.221,ergonomis
SUBJ_012,dika,2026-06-01,13:38:09.891000,2204629347,317891,0.69336,0.17725,0.9082,-3.542,-2.725,-3.046,0.99658,-0.00464,-0.10913,6.847,1.534,0.336,ergonomis
SUBJ_012,dika,2026-06-01,13:38:10.091000,2204629547,319091,0.63135,0.20239,0.89038,3.916,6.718,-2.611,1.00635,0.03125,-0.14771,2.0,-6.092,17.603,ergonomis
SUBJ_012,dika,2026-06-01,13:38:10.291000,2204629747,319291,0.64478,0.18823,0.87817,-4.565,-2.374,-3.863,1.01611,-0.04883,-0.14941,-5.947,0.374,5.985,ergonomis
SUBJ_012,dika,2026-06-01,13:38:10.491000,2204629947,319491,0.65698,0.18237,0.88379,3.412,6.435,16.656,1.03052,0.00146,-0.12451,-10.351,0.26,-3.603,ergonomis
SUBJ_012,dika,2026-06-01,13:38:10.691000,2204630147,318691,0.67212,0.20972,0.92188,-1.634,-3.954,-2.962,1.04224,0.04321,-0.07007,0.74,-2.359,-1.824,ergonomis
SUBJ_012,dika,2026-06-01,13:38:10.891000,2204630347,318891,0.6731,0.19604,0.8916,-1.115,-1.748,-2.794,1.03906,0.05249,-0.12158,-2.282,-1.656,2.084,ergonomis
SUBJ_012,dika,2026-06-01,13:38:11.091000,2204630547,320091,0.69922,0.12231,0.85474,-4.099,-3.466,-6.252,1.03394,-0.02197,-0.18237,0.71,-0.74,-2.435,ergonomis
SUBJ_012,dika,2026-06-01,13:38:11.291000,2204630747,320291,0.70142,0.14429,0.86572,-2.74,-1.076,-4.885,1.03003,-0.01855,-0.15186,-5.046,-0.435,0.435,ergonomis
SUBJ_012,dika,2026-06-01,13:38:11.491000,2204630947,320491,0.69238,0.14429,0.8584,3.435,1.985,-2.588,1.03027,-0.00928,-0.15991,-3.069,1.786,-2.977,ergonomis
