subject_id,nama,date,time,epoch_ms,ts_millis,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,label
SUBJ_017,rina,2026-06-01,16:50:00.003000,2216139459,274003,0.88794,-0.29468,0.60767,-1.115,1.122,-0.779,1.01025,-0.10132,0.1543,-3.076,0.26,0.947,ergonomis
SUBJ_017,rina,2026-06-01,16:50:00.202000,2216139658,273202,0.86963,-0.30566,0.63452,1.214,0.29,-0.328,1.00073,-0.06592,0.15967,-4.931,-1.16,0.412,ergonomis
SUBJ_017,rina,2026-06-01,16:50:00.403000,2216139859,273403,0.87988,-0.29761,0.60352,-1.573,0.779,-2.107,1.00171,-0.09375,0.16602,-3.145,0.382,-0.397,ergonomis
SUBJ_017,rina,2026-06-01,16:50:00.603000,2216140059,273603,0.87646,-0.2937,0.61865,0.374,0.977,-1.824,1.00195,-0.09717,0.17578,-7.511,3.473,-2.191,ergonomis
SUBJ_017,rina,2026-06-01,16:50:00.803000,2216140259,273803,0.86938,-0.29468,0.62061,3.237,0.634,-1.58,1.05054,-0.07129,0.14893,-3.779,0.137,-1.26,ergonomis
SUBJ_017,rina,2026-06-01,16:50:01.294000,2216140750,274294,0.89624,-0.28516,0.60645,0.443,1.885,-0.069,0.99951,-0.09912,0.16724,-0.061,1.153,-0.443,ergonomis
SUBJ_017,rina,2026-06-01,16:50:01.494000,2216140950,274494,0.87256,-0.2876,0.60815,-0.344,3.466,-0.412,0.99951,-0.09253,0.17236,-0.015,,0.779,ergonomis
SUBJ_017,rina,2026-06-01,16:50:01.694000,2216141150,274694,0.88354,-0.29761,0.61157,1.153,2.359,-0.656,0.99829,-0.08765,0.16211,0.344,1.13,-0.069,ergonomis
SUBJ_017,rina,2026-06-01,16:50:01.894000,2216141350,274894,0.88184,-0.29663,0.62378,0.977,2.115,-0.893,1.0061,-0.08765,0.16968,-0.389,0.763,0.397,ergonomis
SUBJ_017,rina,2026-06-01,16:50:02.094000,2216141550,275094,0.88916,-0.29077,0.61108,1.649,2.244,-0.794,1.00293,-0.08911,0.16553,-2.069,0.321,-0.137,ergonomis
SUBJ_017,rina,2026-06-01,16:50:02.294000,2216141750,275294,0.87817,-0.29126,0.62769,-0.924,1.977,-1.695,0.9917,-0.0813,0.17969,-0.969,0.924,-0.221,ergonomis
SUBJ_017,rina,2026-06-01,16:50:02.512000,2216141968,275512,0.88892,-0.29419,0.60547,1.069,2.084,-1.023,0.99829,-0.07666,0.1731,-1.824,0.542,0.053,ergonomis
SUBJ_017,rina,2026-06-01,16:50:02.712000,2216142168,275712,0.87695,-0.28467,0.62378,0.282,1.405,-1.626,0.99902,-0.08887,0.17017,-2.794,0.496,0.267,ergonomis
SUBJ_017,rina,2026-06-01,16:50:02.912000,2216142368,275912,0.8894,-0.28296,0.61597,0.336,1.611,-1.45,0.99731,-0.08472,0.16724,-1.664,1.344,-0.298,ergonomis
SUBJ_017,rina,2026-06-01,16:50:03.112000,2216142568,276112,0.88843,-0.28247,0.61206,0.122,0.855,0.076,1.0061,-0.07617,0.16553,-0.496,-0.137,1.351,ergonomis
SUBJ_017,rina,2026-06-01,16:50:03.312000,2216142768,276312,0.88501,-0.28589,0.61011,0.626,1.908,0.137,0.99707,-0.07642,0.16455,-0.885,1.389,0.321,ergonomis
SUBJ_017,rina,2026-06-01,16:50:03.512000,2216142968,276512,0.87866,-0.28174,0.61353,0.656,1.977,-0.099,0.9978,-0.08447,0.16309,-0.718,-0.137,0.779,ergonomis
SUBJ_017,rina,2026-06-01,16:50:03.741000,2216143197,276740,0.87598,-0.28906,0.61865,0.321,1.229,0.275,1.00659,-0.08569,0.16992,-1.832,-0.191,1.084,ergonomis
SUBJ_017,rina,2026-06-01,16:50:03.940000,2216143396,276940,0.8833,-0.29785,0.61279,-0.847,0.924,-0.626,1.00146,-0.08643,0.16602,-2.145,0.145,0.527,ergonomis
SUBJ_017,rina,2026-06-01,16:50:04.140000,2216143596,277140,0.88403,-0.29248,0.61499,0.924,2.107,-0.573,1.00684,-0.09106,0.14819,-1.641,0.237,-0.29,ergonomis
SUBJ_017,rina,2026-06-01,16:50:04.392000,2216143848,277392,0.87988,-0.29248,0.60669,0.099,1.26,-0.802,1.00586,-0.0835,0.15845,-2.748,0.229,0.13,ergonomis
SUBJ_017,rina,2026-06-01,16:50:04.592000,2216144048,277592,0.87988,-0.29053,0.60596,0.168,0.916,-1.397,1.00024,-0.08545,0.1665,-3.878,0.656,-0.351,ergonomis
SUBJ_017,rina,2026-06-01,16:50:04.792000,2216144248,277792,0.88306,-0.29443,0.6106,0.962,1.458,-0.397,1.00195,-0.08667,0.16284,-4.084,0.809,-0.748,ergonomis
SUBJ_017,rina,2026-06-01,16:50:04.992000,2216144448,277992,0.8894,-0.28442,0.61353,0.092,1.244,-0.893,1.00293,-0.07617,0.17065,-2.481,-0.099,0.321,ergonomis
SUBJ_017,rina,2026-06-01,16:50:05.192000,2216144648,278192,0.87866,-0.27808,0.60034,0.351,2.008,-0.847,1.00708,-0.08911,0.15283,0.206,-0.489,2.053,ergonomis
SUBJ_017,rina,2026-06-01,16:50:05.392000,2216144848,278392,0.88989,-0.28833,0.60498,0.015,1.511,-0.565,1.00757,-0.09229,0.15454,-0.763,-0.099,0.702,ergonomis
SUBJ_017,rina,2026-06-01,16:50:05.599000,2216145055,278599,0.88281,-0.29321,0.60645,0.466,2.038,-0.679,1.00293,-0.08301,0.15552,0.641,0.702,0.023,ergonomis
SUBJ_017,rina,2026-06-01,16:50:05.799000,2216145255,278799,0.88452,-0.28662,0.61279,0.511,2.878,-1.092,1.00122,-0.08057,0.15405,1.076,0.824,0.718,ergonomis
SUBJ_017,rina,2026-06-01,16:50:05.999000,2216145455,278999,0.8833,-0.28296,0.6228,0.634,2.168,-0.359,1.00098,-0.08252,0.16089,-0.183,0.603,0.26,ergonomis
SUBJ_017,rina,2026-06-01,16:50:06.021000,2216145477,280021,0.87476,-0.28613,0.62231,0.405,1.076,-1.046,0.99829,-0.07983,0.16284,-1.389,0.748,-0.191,ergonomis
SUBJ_017,rina,2026-06-01,16:50:06.199000,2216145655,279199,0.87451,-0.28345,0.60791,1.099,1.962,-0.992,0.99707,-0.07861,0.1543,-0.824,0.763,1.122,ergonomis
SUBJ_017,rina,2026-06-01,16:50:06.399000,2216145855,279399,0.88306,-0.27905,0.61255,-0.099,1.939,-0.084,1.00537,-0.09131,0.16064,-1.947,0.42,0.672,ergonomis
SUBJ_017,rina,2026-06-01,16:50:06.599000,2216146055,279599,0.88086,-0.28809,0.61157,0.863,1.656,0.214,0.99976,-0.08911,0.16113,-2.122,-0.015,0.458,ergonomis
SUBJ_017,rina,2026-06-01,16:50:06.799000,2216146255,279799,0.88013,-0.28613,0.60791,0.229,1.931,-0.672,0.99438,-0.08032,0.16602,-1.168,0.405,-0.038,ergonomis
SUBJ_017,rina,2026-06-01,16:50:07.026000,2216146482,281026,0.88501,-0.27539,0.61328,0.42,1.824,-0.336,1.00342,-0.08154,0.16113,-2.382,0.313,1.023,ergonomis
SUBJ_017,rina,2026-06-01,16:50:07.225000,2216146681,280225,0.88574,-0.28931,0.61353,0.206,1.939,-1.008,1.00024,-0.0813,0.15625,-0.313,0.229,0.679,ergonomis
SUBJ_017,rina,2026-06-01,16:50:07.425000,2216146881,280425,0.88428,-0.28369,0.61133,-0.115,1.595,-1.115,0.99683,-0.07593,0.15479,-1.191,0.267,0.473,ergonomis
SUBJ_017,rina,2026-06-01,16:50:07.625000,2216147081,280625,0.88037,-0.28955,0.60547,0.977,1.939,-0.176,1.00537,-0.07739,0.15454,-1.977,-0.13,0.321,ergonomis
SUBJ_017,rina,2026-06-01,16:50:07.825000,2216147281,280825,0.88452,-0.27954,0.60815,0.321,1.817,-0.618,1.00732,-0.08154,0.15405,-2.443,0.153,0.397,ergonomis
SUBJ_017,rina,2026-06-01,16:50:08.026000,2216147482,282026,0.88257,-0.29907,0.61328,0.137,1.977,-0.397,1.0022,-0.09106,0.15527,0.664,0.863,0.847,ergonomis
SUBJ_017,rina,2026-06-01,16:50:08.226000,2216147682,281226,0.87988,-0.2854,0.61255,0.313,0.832,0.198,1.00464,-0.07715,0.17285,-4.588,0.107,1.0,ergonomis
SUBJ_017,rina,2026-06-01,16:50:08.426000,2216147882,281426,0.87646,-0.28638,0.62158,0.198,1.878,0.901,1.0061,-0.08911,0.15405,-3.649,0.389,0.977,ergonomis
SUBJ_017,rina,2026-06-01,16:50:08.626000,2216148082,281626,0.88257,-0.29004,0.59888,-0.84,1.176,0.45,1.00537,-0.07788,0.16431,-1.26,0.618,2.061,ergonomis
SUBJ_017,rina,2026-06-01,16:50:08.826000,2216148282,281826,0.88403,-0.29492,0.61157,0.351,1.053,-0.084,1.00146,-0.0979,0.15942,-0.878,0.771,0.71,ergonomis
SUBJ_017,rina,2026-06-01,16:50:09.054000,2216148510,283054,0.87207,-0.2959,0.62476,2.069,5.992,-0.038,0.99878,-0.05859,0.16187,0.473,1.748,-0.947,ergonomis
SUBJ_017,rina,2026-06-01,16:50:09.226000,2216148682,282226,0.8855,-0.2981,0.60742,0.557,2.328,-0.595,1.00342,-0.10693,0.1499,1.183,0.878,-1.0,ergonomis
SUBJ_017,rina,2026-06-01,16:50:09.454000,2216148910,282454,0.8811,-0.2793,0.62036,1.725,1.87,0.519,0.99438,-0.08081,0.16479,0.412,1.794,-0.908,ergonomis
SUBJ_017,rina,2026-06-01,16:50:09.654000,2216149110,282654,0.88354,-0.29834,0.61475,0.275,3.588,-1.153,1.0061,-0.08569,0.16553,0.382,0.832,,ergonomis
SUBJ_017,rina,2026-06-01,16:50:09.854000,2216149310,282854,0.87183,-0.29077,0.62207,0.916,4.015,-0.748,0.99243,-0.08423,0.16797,-0.382,2.42,-0.687,ergonomis
SUBJ_017,rina,2026-06-01,16:50:10.067000,2216149523,284067,0.83276,-0.28101,0.6814,0.794,3.0,-0.313,0.98462,-0.03955,0.2124,0.664,-2.954,2.29,ergonomis
SUBJ_017,rina,2026-06-01,16:50:10.254000,2216149710,283254,0.86133,-0.27979,0.64551,-1.359,7.878,0.031,0.95972,-0.05005,0.22925,0.107,6.153,-2.038,ergonomis
SUBJ_017,rina,2026-06-01,16:50:10.454000,2216149910,283454,0.84082,-0.30811,0.66333,0.267,4.443,-2.168,0.95483,-0.05518,0.24951,1.779,2.969,-0.771,ergonomis
SUBJ_017,rina,2026-06-01,16:50:10.667000,2216150123,283667,0.84204,-0.28882,0.67285,2.382,3.855,0.519,0.98633,-0.0271,0.19507,-0.855,0.405,-0.565,ergonomis
SUBJ_017,rina,2026-06-01,16:50:10.867000,2216150323,283867,0.85059,-0.27979,0.67407,0.183,2.763,-2.053,1.00049,-0.04883,0.19702,-0.947,-0.252,-0.038,ergonomis
SUBJ_017,rina,2026-06-01,16:50:11.267000,2216150723,284267,0.83569,-0.27979,0.67847,0.504,2.153,-1.687,0.98877,-0.0249,0.21313,-3.069,0.603,-0.954,ergonomis
SUBJ_017,rina,2026-06-01,16:50:11.467000,2216150923,284467,0.84009,-0.25903,0.6814,1.664,2.16,-0.779,1.00342,-0.03442,0.19946,-2.145,0.244,0.695,ergonomis
SUBJ_017,rina,2026-06-01,16:50:11.667000,2216151123,284667,0.83887,-0.26929,0.69385,2.244,1.305,-0.023,0.99194,-0.02515,0.21924,-2.847,0.527,0.634,ergonomis
