subject_id,nama,date,time,epoch_ms,ts_millis,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,label
SUBJ_016,yunda,2026-06-01,16:25:50.112000,2214689568,434112,0.99561,0.17188,0.41357,0.649,2.069,-0.282,1.0188,-0.1731,-0.10645,-1.458,0.824,1.031,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:50.312000,2214689768,434312,0.99365,0.17749,0.39917,-0.885,2.916,0.611,1.01758,-0.15479,-0.11328,-1.099,1.802,0.672,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:50.512000,2214689968,434512,0.97583,0.177,0.40552,1.695,3.794,-2.145,1.01587,-0.16089,-0.08472,-2.718,0.962,-0.206,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:50.712000,2214690168,434712,0.98486,0.16626,0.40576,-0.855,2.718,-0.038,1.02026,-0.16089,-0.0979,-1.664,0.298,-0.107,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:50.912000,2214690368,433912,0.98608,0.17749,0.40063,-0.023,2.718,-0.519,1.01074,-0.17139,-0.11719,-1.847,0.87,-0.214,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:51.112000,2214690568,435112,0.99341,0.17334,0.41333,-0.748,1.977,-0.969,1.03345,-0.15381,-0.10596,-0.977,-1.282,1.916,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:51.312000,2214690768,435312,0.97949,0.16675,0.42505,-0.031,2.16,0.031,1.0271,-0.16919,-0.10083,-0.931,0.145,0.908,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:51.512000,2214690968,435512,0.98511,0.16187,0.42749,0.168,1.542,-0.389,1.01855,-0.1665,-0.1062,-1.542,0.29,0.565,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:51.712000,2214691168,435712,0.9978,0.16113,0.42603,0.748,1.702,-0.664,1.02148,-0.17065,-0.10913,-0.725,1.313,0.305,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:51.912000,2214691368,434912,0.9856,0.17603,0.42261,-0.382,2.13,-0.756,1.01367,-0.16431,-0.10791,-1.595,0.443,0.656,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:52.112000,2214691568,436112,0.98779,0.16895,0.41382,1.137,1.214,-0.878,1.02002,-0.16919,-0.10425,0.206,1.198,0.489,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:52.312000,2214691768,436312,0.99268,0.1665,0.43115,0.557,0.962,-0.534,1.01807,-0.17065,-0.0979,-0.351,0.885,0.924,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:52.512000,2214691968,436512,0.99707,0.16528,0.41284,1.13,1.832,-0.939,1.02319,-0.1687,-0.0979,-1.13,1.061,-0.618,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:52.712000,2214692168,436712,0.98779,0.17114,0.40942,-1.504,3.489,-0.282,1.0166,-0.16577,-0.10205,-2.053,0.252,-0.176,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:52.912000,2214692368,435912,0.99316,0.16553,0.41943,1.702,1.374,-0.916,1.01929,-0.1604,-0.10205,-0.58,1.29,0.985,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:53.112000,2214692568,437112,0.99097,0.16992,0.43042,-0.542,2.427,-0.153,1.01636,-0.16016,-0.09937,-1.061,0.87,0.42,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:53.312000,2214692768,437312,0.9834,0.16113,0.44214,-0.382,3.16,-0.626,1.02148,-0.16187,-0.08887,-1.702,0.16,0.992,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:53.512000,2214692968,437512,0.98413,0.16187,0.44946,4.656,2.542,2.71,1.00708,-0.14795,-0.07568,-0.16,0.588,1.511,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:53.712000,2214693168,437712,0.98877,0.15308,0.44434,0.008,0.389,0.542,1.01709,-0.17529,-0.08838,0.542,-0.069,0.931,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:53.912000,2214693368,436912,0.99243,0.1626,0.41797,-0.527,4.214,0.374,1.01855,-0.15601,-0.09399,-0.87,1.046,0.115,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:54.112000,2214693568,438112,0.98193,0.16772,0.4248,-0.092,2.809,-1.565,1.01587,-0.18701,-0.05542,-2.977,2.901,-0.115,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:54.312000,2214693768,438312,0.97827,0.14551,0.43896,-0.962,4.473,-1.145,1.02393,-0.16821,-0.06152,-1.702,1.198,-0.565,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:54.512000,2214693968,438512,0.97583,0.15576,0.45166,0.275,3.893,-1.885,1.02393,-0.16016,-0.06494,-0.962,1.351,-0.382,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:54.712000,2214694168,438712,0.98364,0.16821,0.45801,1.321,3.351,-1.603,1.00708,-0.16284,-0.05127,-1.74,0.847,-0.397,ergonomis
SUBJ_016,yunda,2026-06-01,16:25:54.912000,2214694368,437912,0.99365,0.15063,0.42896,2.641,-0.237,-0.015,1.02026,-0.17603,-0.08252,0.313,3.145,-0.321,ergonomis
